 ,Issuer,Cum,QDI,Sector,"Fix/
Float",Type,Ticker,Coupon  Percent,Current Price,Change,Current Yield,Ann Yield to Worst ,IG,S&P Rating,Moody Rating,Quarterly Int / Div,1st Call,Maturity Date,Pay Dates,,All
,Bank of Hawaii,No,Yes,Bank,Fix,Trad,BOH-A,4.375%,$16.65,$0.11,6.57%,33.40%,Y,NR,Baa3,$0.27,8/1/2026,NONE,"1st 2,5,8,11",0.56,All
,Bank of Hawaii,No,Yes,Bank,Fix,Trad,BOH-B,8.000%,$26.61,-$0.08,7.52%,-6.44%,Y,NR,Baa3,$0.50,8/1/2029,NONE,"1st 2,5,8,11",3.56,All
,Bank OZK,No,Yes,Bank,Fix,Trad,OZKAP,4.625%,$16.72,$0.07,6.94%,45.93%,N,NR,Ba2,$0.29,11/15/2026,NONE,"15th 2,5,8,11",0.85,All
,BFC Capital Trust,Yes,No,Bank,Fix,Trust P,BANFP,7.200%,$26.10,-$0.05,6.90%,-4.40%,N,NR,NR,$0.45,3/21/2009,3/31/2034,"15th 1,4,7,10",-16.82,All
,BIP Bermuda Holdings,No,No,Other,Fix,BB,BIPI,5.125%,$16.80,-$0.02,7.62%,39.38%,N,NR,NR,$0.32,1/21/2027,NONE,"LD 3,6,9,12",1.03,All
,Braemar Hotels and Resorts,Yes,No,Hotel REIT,Fix,Trad,BHR-D,8.250%,$18.38,$0.11,11.22%,26.48%,N,NR,NR,$0.52,11/20/2023,NONE,"15th 1,4,7,10",-2.14,All
,Braemer Hotels and Resorts (Conv),Yes,No,Hotel REIT,Fix,Conv,BHR-B,5.500%,$13.95,-$0.05,9.86%,44.20%,N,NR,NR,$0.34,6/11/2020,NONE,"15th 1,4,7,10",-5.58,All
,Bridgewater Bancshares,No,Yes,Bank,Fix,Trad,BWBBP,5.875%,$19.45,$0.25,7.61%,44.44%,N,NR,NR,$0.37,8/17/2026,NONE,"1st 3,6,9,12",0.60,All
,Brighthouse Financial,No,No,Insurance,Fix,BB,BHFAL,6.250%,$17.32,NA,9.02%,30.72%,Y,BBB-,Ba1,$0.39,9/15/2023,9/15/2058,"15th 3,6,9,12",-2.32,All
,Brighthouse Financial,No,Yes,Insurance,Fix,Trad,BHFAP,6.600%,$15.71,-$0.08,10.50%,37.16%,Y,BBB-,Ba2,$0.41,3/25/2024,NONE,"25th 3,6,9,12",-1.79,All
,Brighthouse Financial,No,Yes,Insurance,Fix,Trad,BHFAO,6.750%,$16.13,-$0.15,10.42%,-54.99%,Y,BBB-,Ba2,$0.42,6/25/2025,NONE,"25th 3,6,9,12",-0.54,All
,Brighthouse Financial,No,Yes,Insurance,Fix,Trad,BHFAN,5.375%,$13.06,-$0.02,10.41%,-1151.75%,Y,BBB-,Ba2,$0.34,12/25/2025,NONE,"25th 3,6,9,12",-0.04,All
,Brighthouse Financial,No,No,Insurance,Fix,Trad,BHFAM,4.625%,$11.54,-$0.11,10.02%,66.17%,Y,BBB-,Ba2,$0.29,12/25/2026,NONE,"25th 3,6,9,12",0.96,All
,Brookfield BRP Holdings,No,Yes,MLP,Fix,BB,BEPH,4.625%,$15.34,$0.00,7.56%,134.62%,Y,BBB-,NR,$0.29,4/30/2026,NONE,"30th 1,4,7,10",0.30,All
,Brookfield BRP Holdings,No,Yes,MLP,Fix,BB,BEPI,4.875%,$16.13,-$0.05,7.44%,46.21%,Y,BBB-,NR,$0.30,12/9/2026,NONE,"30th 1,4,7,10",0.92,All
,Brookfield BRP Holdings,No,Yes,MLP,Fix,BB,BEPJ,7.250%,$25.12,-$0.08,7.17%,#DIV/0!,Y,BBB-,NR,$0.45,3/25/2029,NONE,"30th 1,4,7,10",,All
,Brookfield Finance,No,No,Asset Mgr,Fix,BB,BNH,4.625%,$16.07,-$0.05,7.22%,-146.17%,Y,BBB,Baa3,$0.29,10/16/2025,10/16/2080,"15th 1,4,7,10",-0.23,All
,Brookfield Finance,No,No,Asset Mgr,Fix,BB,BNJ,4.500%,$15.27,$0.02,7.60%,-301.23%,Y,BBB,Baa3,$0.29,11/24/2025,NONE,"24th 2,5,8,11",-0.13,All
,Brookfield Infrastructure Finance,No,No,Infrastructure,Fix,BB,BIPH,5.000%,$16.60,$0.05,7.47%,98.31%,Y,BBB-,NR,$0.31,5/24/2026,5/24/2081,"LD 3,6,9,12",0.37,All
,Brookfield Infrastructure Finance,No,No,Infrastructure,Fix,BB,BIPJ,7.250%,$24.64,-$0.01,7.31%,7.73%,Y,BBB-,NR,$0.45,5/31/2029,5/31/2084,"LD 3,6,9,12",3.39,All
,Brookfield Infrastructure Partners,Yes,No,MLP,Fix,Trad,BIP-A,5.125%,$16.98,-$0.03,7.54%,-128.62%,Y,BBB-,NY,$0.32,10/15/2025,NONE,"15th 3,6,9,12",-0.24,All
,Brookfield Infrastructure Partners,Yes,No,MLP,Fix,Trad,BIP-B,5.000%,$16.75,-$0.16,7.40%,324.38%,Y,BBB-,NY,$0.31,2/16/2026,NONE,"15th 3,6,9,12",0.10,All
,Brookfield Property Partners LP,Yes,No,MLP,Fix,Trad,BPYPM,6.250%,$15.51,-$0.11,10.06%,80.03%,N,B,NR,$0.39,7/26/2026,NONE,"LD 3,6,9,12",0.54,All
,Brookfield Property Partners LP,Yes,No,MLP,Fix,Trad,BPYPP,6.500%,$14.86,$0.11,10.94%,40.56%,N,B,NR,$0.41,3/31/2024,NONE,"LD 3,6,9,12",-1.78,All
,Brookfield Property Partners LP,Yes,No,MLP,Fix,Trad,BPYPO,6.375%,$14.68,$0.14,10.86%,-21.48%,N,B,NR,$0.40,9/30/2024,NONE,"LD 3,6,9,12",-1.28,All
,Brookfield Property Partners LP,Yes,No,MLP,Fix,Trad,BPYPN,5.750%,$13.42,$0.06,10.73%,-48.80%,N,B,NR,$0.36,3/31/2025,NONE,"LD 3,6,9,12",-0.78,All
,Brookfield Renewable Partners LP,Yes,No,MLP,Fix,Trad,BEP-A,5.250%,$18.27,$0.17,7.22%,26.92%,N,NR,NR,$0.33,3/31/2025,NONE,"LD 1,4,7,10",-0.78,All
,Brunswick Corp,No,No,Other,Fix,BB,BC-B,6.625%,Redeem,Redeem,Redeem,#VALUE!,Y,BBB-,Baa2,$0.41,1/15/2024,1/15/2049,"15th 1,4,7,10",-1.99,All
,Brunswick Corp,No,No,Other,Fix,BB,BC-A,6.500%,Redeem,Redeem,Redeem,#VALUE!,Y,BBB-,Baa2,$0.41,10/15/2023,10/15/2048,"15th 1,4,7,10",-2.24,All
,Brunswick Corp,No,No,Other,Fix,BB,BC-C,6.375%,$25.17,$0.13,6.33%,6.72%,Y,BBB-,Baa2,$0.40,4/15/2024,4/15/2049,"15th 1,4,7,10",-1.74,All
,Cadence Bank,No,Yes,Bank,Fix,Trad,CADE-A,5.500%,$21.60,$0.04,6.37%,13.60%,N,BB,Ba1,$0.34,11/20/2024,NONE,"20th 2,5,8,11",-1.14,All
,CADIZ Inc,Yes,Yes,Other,Fix,Trad,CDZIP,8.875%,$19.58,-$0.02,11.24%,56.71%,N,NR,NR,$0.55,7/2/2026,NONE,"15th 1,4,7,10",0.48,All
,Capital One Financial,No,Yes,Bank,Fix,Trad,COF-I,5.000%,$19.25,$0.04,6.49%,23.00%,Y,BB,Baa3,$0.31,12/1/2024,NONE,"1st 3,6,9,12",-1.11,All
,Capital One Financial,No,Yes,Bank,Fix,Trad,COF-J,4.800%,$18.37,$0.00,6.53%,26.52%,Y,BB,Baa3,$0.30,6/1/2025,NONE,"1st 3,6,9,12",-0.61,All
,Capital One Financial,No,Yes,Bank,Fix,Trad,COF-K,4.625%,$17.68,-$0.03,6.56%,-267.47%,Y,BB,Baa3,$0.29,12/1/2025,NONE,"1st 3,6,9,12",-0.11,All
,Capital One Financial,No,Yes,Bank,Fix,Trad,COF-L,4.375%,$16.88,-$0.03,6.40%,56.85%,Y,BB,Baa3,$0.27,9/1/2026,NONE,"1st 3,6,9,12",0.64,All
,Capital One Financial,No,Yes,Bank,Fix,Trad,COF-N,4.250%,$16.54,$0.08,6.53%,59.09%,Y,BB,Baa3,$0.27,9/1/2026,NONE,"1st 3,6,9,12",0.64,All
,Capital Southwest,No,No,BDC,Fix,BB,CSWCZ,7.750%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.48,8/1/2025,8/1/2028,"1st 2,5,8,11",-0.44,All
,CareCloud,Yes,Yes,Other,Fix,Trad,CCLDP,11.000%,Converted,Converted,Converted,Susp,N,NR,NR,$0.23,11/04/2020,NONE,15th Month,-5.18,All
,CareCloud,Yes,Yes,Other,Fix,Trad,CCLDO,8.750%,$25.98,$0.19,8.42%,Susp,N,NR,NR,$0.18,2/15/2024,NONE,15th Month,-1.90,All
,Carlyle Credit Income Fund,Yes,Var,CEF,Fix,Term,CCIA,8.750%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.18,10/31/2025,10/31/2028,LD Month,-0.19,All
,Carlyle Credit Income Fund,Yes,Var,CEF,Fix,Term,CCID,7.375%,$25.33,$0.07,7.30%,#DIV/0!,N,NR,NR,$0.15,10/30/2026,10/30/2028,LD Month,,All
,Carlyle Finance,No,No,Finance,Fix,BB,CGABL,4.625%,$17.47,$0.07,6.64%,93.89%,Y,BBB-,NR,$0.29,5/15/2026,5/15/2061,"15th 2,5,8,11",0.35,All
,Cedar Realty Trust,Yes,No,Retail REIT,Fix,Trad,CDR-B,7.250%,$18.52,$0.37,9.79%,25.92%,N,NR,NR,$0.45,5/22/2017,NONE,"20th 2, 5, 8, 11",-8.64,All
,Cedar Realty Trust,Yes,No,Retail REIT,Fix,Trad,CDR-C,6.500%,$17.17,-$0.42,9.46%,31.32%,N,NR,NR,$0.41,8/22/2022,NONE,"20th 2,5,8,11",-3.39,All
,Centerspace ,Yes,No,eREIT,Fix,Trad,CSR-C,6.625%,Redeem,Redeem,Redeem,Redeem,N,NR,NR,$0.41,10/2/2022,NONE,"LD 3,6,9,12",-3.27,All
,Charah Solutions,No,No,Other,Fix,BB,CHRB,8.500%,$23.00,$0.10,9.22%,8.00%,N,NR,NR,$0.53,8/31/2023,8/31/2026,"LD 1,4,7,10",-2.36,All
,Chatham Lodging Trust,Yes,No,Hotel REIT,Fix,Trad,CLDT-A,6.625%,$19.99,$0.16,8.40%,50.93%,N,NR,NR,$0.42,6/30/2026,NONE,"15th 1,4,7,10",0.47,All
,Cherry Hill Mortgage,Yes,No,mREIT,Fix,Trad,CHMI-A,8.200%,$20.80,$0.18,9.86%,16.80%,N,NR,NR,$0.51,8/17/2022,NONE,"15th 1,4,7,10",-3.40,All
,Cherry Hill Mortgage,Yes,No,eREIT,Fix-Float,Trad,CHMI-B,8.250%,$23.70,$0.09,Float,Float,N,NR,NR,Float,4/5/2024,NONE,"15th 1,4,7,10",-1.76,All
,Chicken Soup for the Soul,Yes,Yes,Other,Fix,Trad,CSSEP,9.750%,BK,BK,BK,BK,N,NR,NR,$0.61,6/27/2023,NONE,15th Month,-2.54,All
,Chicken Soup for the Soul,No,No,Other,Fix,BB,CSSEN,9.500%,BK,BK,BK,BK,N,NR,NR,$0.59,7/31/2022,7/31/2025,"LD 3,6,9,12",-3.45,All
,Chimera Investment,Yes,No,mREIT,Fix,Trad,CIM-A,8.000%,$21.77,$0.12,9.19%,12.92%,N,NR,NR,$0.50,10/21/2021,NONE,"30th 3,6,9,12",-4.22,All
,Chimera Investment,No,No,mREIT,Fix,BB,CIMN,9.000%,$25.39,$0.02,8.86%,4.34%,N,NR,NR,$0.56,5/15/2026,5/15/2029,"15th 2,5,8,11",0.35,All
,Chimera Investment,No,No,mREIT,Fix,BB,CIMO,9.250%,$25.59,$0.00,9.07%,5.11%,N,NR,NR,$0.58,8/15/2026,8/15/2029,"15th 2,5,8,11",0.60,All
,Chimera Investment,No,No,mREIT,Fix,BB,CIMP,8.875%,$25.04,-$0.05,8.79%,#DIV/0!,N,NR,NR,$0.55,8/15/2027,8/15/2030,"15th 2,5,8,11",,All
,Chimera Investment,Yes,No,mREIT,Fix-Float,Trad,CIM-B,8.000%,$23.34,-$0.04,Float,Float,N,NR,NR,Float,3/30/2024,NONE,"30th 3,6,9,12",-1.78,All
,Chimera Investment,Yes,No,mREIT,Fix-Float,Trad,CIM-D,8.000%,$22.92,$0.07,Float,Float,N,NR,NR,Float,3/30/2024,NONE,"30th 3,6,9,12",-1.78,All
,Chimera Investment,Yes,No,mREIT,Fix-Float,Trad,CIM-C,7.750%,$21.81,$0.07,8.88%,-37.23%,N,NR,NR,$0.48,9/30/2025,NONE,"30th 3,6,9,12",-0.28,All
,CHS,Yes,Yes,Ag,Fix,Trad,CHSCP,8.000%,$27.71,-$0.14,7.22%,-10.84%,N,NR,NR,$0.50,7/18/2023,NONE,"LD 3,6,9,12",-2.48,All
,CHS,Yes,Yes,Ag,Fix,Trad,CHSCL,7.500%,$25.56,$0.10,7.34%,9.65%,N,NR,NR,$0.47,1/21/2025,NONE,"LD 3,6,9,12",-0.97,All
,CHS,Yes,Yes,Ag,Fix,Trad,CHSCO,7.875%,$26.25,$0.04,7.50%,-5.00%,N,NR,NR,$0.49,9/26/2023,NONE,"LD 3,6,9,12",-2.29,All
,CHS,Yes,Yes,Ag,Now Fixed,Trad,CHSCN,7.100%,$25.15,$0.04,7.06%,-0.60%,N,NR,NR,$0.44,3/31/2024,NONE,"LD 3,6,9,12",-1.78,All
,CHS,Yes,Yes,Ag,Now Fixed,Trad,CHSCM,6.750%,$24.90,$0.03,6.78%,6.46%,N,NR,NR,$0.42,9/30/2024,NONE,"LD 3,6,9,12",-1.28,All
,Citigroup,No,Yes,Bank,Fix-Float,Trad,C-J,7.125%,Redeem,Redeem,Redeem,Redeem,N,BB+,Ba1,Float,9/30/2023,NONE,"30th 3,6,9,12",-2.28,All
,Citigroup,No,Yes,Bank,Fix-Float,Trad,C-K,6.875%,Redeem,Redeem,Redeem,Redeem,N,BB+,Ba1,$0.43,11/15/2023,NONE,"15th  2,5,8,11",-2.15,All
,Citigroup Capital Trust,No,No,Bank,Fix,Trust P,C-N,7.875%,$30.47,$0.05,6.46%,-21.88%,N,BB+,Ba1,$0.49,10/30/2015,10/30/2040,"30th 1,4,7,10",-10.20,All
,Citizens Financial,No,Yes,Bank,Fix,Trad,CFG-E,5.000%,$19.38,$0.06,6.45%,-15.85%,Y,BB+,Baa3,$0.31,1/6/2025,NONE,"6th 1,4,7,10",-1.01,All
,Citizens Financial,No,Yes,Bank,Fix,Trad,CFG-H,7.375%,$26.50,$0.09,6.94%,5.22%,Y,BB+,Baa3,$0.46,7/6/2029,None,"6th 1,4,7,10",3.49,All
,Citizens Financial,No,Yes,Bank,Fix-Float,Trad,CFG-D,6.350%,Redeem,Redeem,Redeem,Redeem,Y,BB+,Baa3,$0.40,7/6/2024,NONE,"6th 1,4,7,10",-1.51,All
,Citizens Financial,No,Yes,Bank,FRR,Trad,CFG-I,6.500%,$25.32,$0.03,6.41%,#DIV/0!,Y,BB+,Baa3,$0.41,10/6/2030,None,"6th 1,4,7,10",,All
,City Office REIT,Yes,no,eREIT,Fix,Trad,CIO-A,6.625%,$25.37,$0.04,6.53%,-1.48%,N,NR,NR,$0.41,9/15/2021,NONE,"25th 1,4,7,10",-4.32,All
,CMS Energy,No,No,Ute,Fix,BB,CMSA,5.625%,$22.19,-$0.07,6.34%,2.36%,Y,BBB-,Baa2,$0.35,3/15/2023,3/15/2078,"15th 3,6,9,12",-2.82,All
,CMS Energy,No,No,Ute,Fix,BB,CMSC,5.875%,$23.04,$0.09,6.37%,7.84%,Y,BBB-,Baa2,$0.37,10/15/2023,10/15/2078,"15th 1,4,7,10",-2.24,All
,CMS Energy,No,No,Ute,Fix,BB,CMSD,5.875%,$23.50,$0.05,6.25%,3.02%,Y,BBB-,Baa2,$0.37,3/1/2024,3/1/2079,"1st 3,6,9,12",-1.86,All
,CMS Energy,Yes,Yes,Ute,Fix,Fix,CMS-C,4.200%,$17.54,-$0.01,5.93%,64.17%,Y,BBB-,Ba1,$0.26,7/15/2026,NONE,"15th 1,4,7,10",0.51,All
,CNB Financial,No,Yes,Bank,Fix,Trad,CCNEP,7.125%,$24.90,$0.02,7.23%,6.11%,N,NR,NR,$0.45,9/1/2025,NONE,"1st 3,6,9,12",-0.36,All
,CNO Financial Group,No,No,Insurance,Fix,BB,CNO-A,5.125%,$19.02,$0.02,6.73%,-187.29%,N,NR,NR,$0.32,11/25/2025,11/25/2060,"15th 2,5,8,11",-0.12,All
,Comerica,No,Yes,Bank,FRR,Trad,CMA-B,6.875%,$26.03,$0.00,6.61%,,N,BB,Ba1,$0.43,10/1/2030,NONE,"1st 1,4,7,10",,All
,Compass Diversified,No,Yes,Other,Fix,Trad,CODI-A,7.250%,$17.16,$0.13,10.56%,31.36%,N,NR,NR,$0.45,7/30/2022,NONE,"30th 1,4,7,10",-3.45,All
,Compass Diversified,Yes,Yes,Other,Fix,Trad,CODI-C,7.875%,$19.57,$0.44,10.06%,-12.99%,N,NR,NR,$0.49,1/30/2025,NONE,"30th 1,4,7,10",-0.94,All
,Compass Diversified,Yes,Yes,Other,Fix-Float,Trad,CODI-B,7.875%,$19.32,$0.29,10.19%,20.04%,N,NR,NR,$0.49,4/30/2028,NONE,"30th 1,4,7,10",2.31,All
,Conifer Holdings,No,No,Insurance,Fix,BB,CNFRL,6.750%,Exchange,Exchange,Exchange,Exchange,N,NR,NR,$0.42,9/30/2021,9/30/2023,"LD 3,6,9,12",-4.28,All
,ConnectOne Bancorp,No,Yes,Bank,Fix,FRR,CNOBP,5.250%,$24.37,$0.07,5.42%,2.52%,N,NR,NR,$0.33,9/1/2026,NONE,"1st 3,6,9,12",0.64,All
,Corebridge Financial,No,No,Insurance,Fix,BB,CRBD,6.375%,$23.73,$0.01,6.71%,8.00%,N,NR,NR,$0.40,12/15/2029,12/15/2064,"15th 3,6,9,12",3.93,All
,CORTS BellSouth,No,No,Telecom,Fix,3rd,KTBA,7.000%,$21.75,$0.40,8.09%,8.28%,N,NR,NR,$0.88,None,12/1/2095,1st 6 and 12,69.94,All
,Costamare Inc,Yes,Yes,Shipping,Fix,Trad,CMRE-C,8.500%,$27.07,$0.00,7.85%,-8.28%,N,NR,NR,$0.53,1/21/2019,NONE,"15th 1,4,7,10",-6.97,All
,Costamare Inc,Yes,Yes,Shipping,Fix,Trad,CMRE-B,7.625%,$25.99,$0.19,7.33%,-3.96%,N,NR,NR,$0.48,8/6/2018,NONE,"15th 1,4,7,10",-7.43,All
,Costamare Inc,Yes,Yes,Shipping,Fix,Trad,CMRE-D,8.750%,$28.01,$0.01,7.81%,-12.04%,N,NR,NR,$0.55,5/13/2020,NONE,"15th 1,4,7,10",-5.66,All
,Costamare Inc,Yes,Yes,Shipping,Fix,Trad,CMRE-E,8.875%,Redeem,Redeem,Redeem,Redeem,N,NR,NR,$0.55,1/30/2023,NONE,"15th 1,4,7,10",-2.95,All
,Cowen Group,No,No,Finance,Fix,BB,COWNL,7.750%,Redeem,Redeem,Redeem,Redeem,N,NR,NR,$0.48,6/15/2023,6/15/2033,"15th 3,6,9,12",-2.57,All
,CTO Growth,Yes,No,eREIT,Fix,Trad,CTO-A,6.375%,$20.89,NA,7.63%,41.34%,N,NR,NR,$0.40,7/6/2026,NONE,"LD 3,6,9,12",0.49,All
,Cullen Frost Banker,No,Yes,Bank,Fix,Trad,CFR-B,4.450%,$17.56,$0.02,6.33%,-428.16%,Y,BBB-,Baa2,0.278,12/15/2025,NONE,"15th 3,6,9,12",-0.07,All
,Customers Bancorp,No,No,Bank,Fix,BB,CUBB,5.370%,$22.47,$0.18,5.98%,8.53%,N,NR,NR,$0.34,12/30/2029,12/30/2034,"30th 3,6,9,12",3.98,All
,Customers Bancorp,No,Yes,Bank,Fix-Float,Trad,CUBI-E,6.450%,Redeem,Redeem,Redeem,Float,N,NR,NR,Float,6/15/2021,NONE,"15th 3,6,9,12",-4.57,All
,Customers Bancorp,No,Yes,Bank,Fix-Float,Trad,CUBI-F,6.000%,Redeem,Redeem,Redeem,Float,N,NR,NR,Float,12/14/2021,NONE,"15th 3,6,9,12",-4.07,All
,DiamondRock Hospitality,Yes,No,eREIT,Fix,Trad,DRH-A,8.250%,$24.99,$0.01,8.25%,8.14%,N,NR,NR,$0.52,8/31/2025,NONE,"LD 3,6,9,12",-0.36,All
,Diana Shipping,Yes,Yes,Shipping,Fix,Trad,DSX-B,8.875%,$26.10,$0.03,8.50%,-4.40%,N,NR,NR,$0.55,3/14/2019,NONE,"15th 1,4,7,10",-6.83,All
,Digital Realty Trust,Yes,No,eREIT,Fix,Trad,DLR-K,5.850%,$23.97,$0.08,6.10%,3.85%,Y,BB+,Baa3,$0.37,3/13/2024,NONE,"LD 3,6,9,12",-1.83,All
,Digital Realty Trust,Yes,No,eREIT,Fix,Trad,DLR-J,5.250%,$20.86,$0.03,6.29%,16.56%,Y,BB+,Baa3,$0.33,8/7/2022,NONE,"LD 3,6,9,12",-3.43,All
,Digital Realty Trust,Yes,No,eREIt,Fix,Trad,DLR-L,5.200%,$20.53,-$0.08,6.33%,-7.98%,Y,BB+,Baa3,$0.33,10/10/2024,NONE,"LD 3,6,9,12",-1.25,All
,DigitalBridge,Yes,No,C-Corp,Fix,Trad,DBRG-J,7.125%,$20.21,$0.45,8.81%,19.16%,N,NR,NR,$0.45,9/22/2022,NONE,"15th 1,4,7,10",-3.30,All
,DigitalBridge,Yes,No,C-Corp,Fix,Trad,DBRG-I,7.150%,$20.35,$0.63,8.78%,18.60%,N,NR,NR,$0.45,6/5/2022,NONE,"15th 1,4,7,10",-3.60,All
,DigitalBridge,Yes,No,C-Corp,Fix,Trad,DBRG-H,7.125%,$20.12,$0.47,8.85%,19.52%,N,NR,NR,$0.45,4/15/2020,NONE,"15th 1,4,7,10",-5.74,All
,Dillards Capital Trust,Yes,No,Other,Fix,Trust P,DDT,7.500%,$26.36,$0.04,7.13%,-5.44%,Y,BBB-,Ba1,$0.47,8/12/2003,8/1/2038,"1st 2,5,8,11",-22.43,All
,Dime Community Bancshares,No,Yes,Bank,Fix,Trad,DCOMP,5.500%,$18.34,-$0.05,7.50%,26.64%,N,BB-,NR,$0.34,2/15/2025,NONE,"15th 2,5,8,11",-0.90,All
,Dime Community Bancshares,No,No,Bank,Fix,BB,DCOMG,9.000%,$26.36,$0.11,8.35%,6.80%,N,BB,Baa3,$0.55,7/15/2029,7/15/2034,"15th 1,4,7,10",3.52,All
,Diversified Healthcare Trust,Yes,No,eREIT,Fix,BB,DHCNI,5.625%,$16.93,$0.29,8.27%,32.28%,N,BB-,B3,$0.35,8/1/2017,8/1/2042,"1st 2,5,8,11",-8.45,All
,Diversified Healthcare Trust,Yes,No,eREIT,Fix,BB,DHCNL,6.250%,$17.75,-$0.06,8.79%,29.00%,N,BB-,B3,$0.39,2/18/2021,2/1/2046,"1st 3,6,9,12",-4.89,All
,DTE Energy     ,No,No,Ute,Fix,BB,DTW,5.250%,$21.60,$0.03,6.08%,13.60%,Y,BBB-,Baa3,$0.33,12/1/2022,12/1/2077,"1st 3,6,9,12",-3.11,All
,DTE Energy     ,No,No,Ute,Fix,BB,DTB,4.375%,$17.43,$0.04,6.20%,-122.32%,Y,BBB-,Baa3,$0.27,10/15/2025,10/15/2080,"15th 1,4,7,10",-0.24,All
,DTE Energy     ,No,No,Ute,Fix,BB,DTG,4.375%,$17.49,-$0.02,6.17%,39.81%,Y,BBB-,Baa3,$0.27,12/1/2026,12/1/2081,"1st 3,6,9,12",0.89,All
,DTE Energy     ,No,No,Ute,Fix,BB,DTK,6.250%,$24.79,$0.03,6.30%,#DIV/0!,Y,BBB-,Baa3,$0.39,10/1/2030,10/1/2085,"1st 1,4,7,10",,All
,Duke Energy,No,No,Ute,Fix,BB,DUKB,5.625%,$24.63,-$0.09,5.71%,5.07%,Y,BBB,Baa2,$0.35,9/15/2023,9/15/2078,"15th 3,6,9,1",-2.32,All
,Duke Energy,No,No,Ute,Fix,Trad,DUK-A,5.750%,$25.01,$0.00,5.75%,5.77%,Y,BBB-,Baa3,$0.36,6/15/2024,NONE,"16th 3,6,9,12",-1.57,All
,Dynagas LNG Partners,Yes,No,Shipping,Fix,Trad,DLNG-A,9.000%,$26.33,-$0.05,8.55%,-5.32%,N,NR,NR,$0.56,8/12/2020,NONE,"12th 2,5,8,11",-5.41,All
,Dynagas LNG Partners,Yes,No,Shipping,Fix-Float,Trad,DLNG-B,8.750%,Redeem,Redeem,Redeem,Float,N,NR,NR,Float,11/2/2023,NONE,"22nd 2,5,8,11",-2.19,All
,Dynex Capital,Yes,No,mREIT,Fix-Float,Trad,DX-C,6.900%,$25.66,-$0.01,Float,#VALUE!,N,NR,NR,Float,4/15/2025,NONE,"15th 1,4,7,10",-0.74,All
,Eagle Point Credit Co,No,No,CEF,Fix,BB,ECCW,6.750%,$24.83,-$0.02,6.77%,6.38%,N,NR,NR,$0.42,3/29/2024,3/31/2031,"LD 3,6,9,12",-1.78,All
,Eagle Point Credit Co,Yes,No,CEF,Fix,Term,ECCC,6.375%,$24.54,$0.19,6.36%,5.18%,N,NR,NR,$0.13,6/16/2024,6/30/2031,LD Month,-1.57,All
,Eagle Point Credit Co,Yes,Var,CEF,Fix,Trad,ECC-D,6.750%,$19.89,$0.02,8.48%,31.51%,N,NR,NR,$0.14,11/29/2026,NONE,LD Month,0.89,All
,Eagle Point Credit Co,No,No,CEF,Fix,BB,ECCV,5.375%,$23.51,-$0.14,5.78%,-0.56%,N,NR,NR,$0.34,1/31/2025,1/31/2029,LD Month,-0.94,All
,Eagle Point Credit Co,No,No,CEF,Fix,BB,ECCX,6.688%,$24.94,$0.03,6.74%,0.24%,N,NR,NR,$0.42,4/30/2021,4/30/2028,"LD 3,6,9,12",-4.70,All
,Eagle Point Credit Co,No,No,CEF,Fix,BB,ECCU,6.688%,$25.13,$0.06,7.70%,7.35%,N,NR,NR,$0.48,6/30/2027,6/30/2030,"LD 3,6,9,12",1.47,All
,Eagle Point Credit Co,Yes,Var,CEF,Fix,Term,ECCF,8.000%,$25.09,-$0.03,7.96%,-6.64%,N,NR,NR,$0.17,1/18/2026,1/31/2029,LD Month,0.02,All
,Eagle Point Income,Yes,Var,CEF,Fix,Term,EICA,5.000%,$24.71,-$0.04,4.86%,1.16%,N,NR,NR,$0.10,10/31/2023,10/30/2026,LD Month,-2.19,All
,Eagle Point Income,Yes,Var,CEF,Fix,Term,EICB,7.750%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.16,7/31/2025,7/31/2028,LD Month,-0.44,All
,Eagle Point Institutional income,Yes,Var,CEF,Fix,Term,EIIA,8.125%,$25.25,$0.02,8.04%,6.80%,N,NR,NR,$0.17,10/31/2026,10/31/2029,LD Month,0.81,All
,Ellington Financial,Yes,No,mREIT,Fix-Float,Trad,EFC-A,6.750%,$25.22,$0.01,6.69%,7.43%,N,NR,NR,$0.42,10/30/2024,NONE,"30th 1,4,7,10",-1.19,All
,Ellington Financial,Yes,No,mREIT,FRR,Trad,EFC-B,6.250%,$23.66,-$0.12,6.59%,11.66%,N,NR,NR,$0.39,1/30/2027,NONE,"30th 1,4,7,10",1.06,All
,Ellington Financial (Arlington),Yes,No,mREIT,Fix,Trad,EFC-D,7.000%,$24.20,$0.00,7.23%,3.20%,N,NR,NR,$0.44,5/12/2022,NONE,"30th 3,6,9,12",-3.67,All
,Ellington Financial (Arlington),Yes,No,mREIT,Fix-Float,Trad,EFC-E,8.250%,Redeem,Redeem,Redeem,Redeem,N,NR,NR,Float,3/30/2024,NONE,"30th 3,6,9,12",-1.78,All
,Ellsworth Growth and Income,Yes,Var,CEF,Fix,Trad,ECF-A,5.250%,$21.54,$0.19,6.09%,13.84%,Y,NR,A1,$0.33,9/18/2022,NONE,"26th 3,6,9,12",-3.31,All
